district_id,period,period_date,model_recommended_party_spend,dccc_actual_cumulative_party_spend,dccc_actual_incremental_party_spend,gap
AZ-01,0,2023-04-15,9348879.814499998,95000.0,95000.0,9253879.814499998
AZ-04,0,2023-04-15,9348879.814499991,0.0,0.0,9348879.814499991
CA-13,0,2023-04-15,9348879.8145,95000.0,95000.0,9253879.8145
CA-22,0,2023-04-15,9348879.8145,95052.0,95052.0,9253827.8145
CA-27,0,2023-04-15,9348879.8145,95000.0,95000.0,9253879.8145
AZ-01,1,2023-07-15,9348879.814499998,95000.0,0.0,9348879.814499998
AZ-04,1,2023-07-15,9348879.814499991,0.0,0.0,9348879.814499991
CA-13,1,2023-07-15,9348879.8145,95000.0,0.0,9348879.8145
CA-22,1,2023-07-15,9348879.8145,95052.0,0.0,9348879.8145
CA-27,1,2023-07-15,9348879.8145,95000.0,0.0,9348879.8145
AZ-01,2,2023-10-15,9348879.814499998,95000.0,0.0,9348879.814499998
AZ-04,2,2023-10-15,9348879.814499991,0.0,0.0,9348879.814499991
CA-13,2,2023-10-15,9348879.8145,95000.0,0.0,9348879.8145
CA-22,2,2023-10-15,9348879.8145,95052.0,0.0,9348879.8145
CA-27,2,2023-10-15,9348879.8145,95000.0,0.0,9348879.8145
AZ-01,3,2024-04-15,9348879.814499998,95000.0,0.0,9348879.814499998
AZ-04,3,2024-04-15,9348879.814499991,0.0,0.0,9348879.814499991
CA-13,3,2024-04-15,9348879.8145,95000.0,0.0,9348879.8145
CA-22,3,2024-04-15,9348879.8145,95052.0,0.0,9348879.8145
CA-27,3,2024-04-15,9348879.8145,95000.0,0.0,9348879.8145
AZ-01,4,2024-07-15,9348879.814499998,95000.0,0.0,9348879.814499998
AZ-04,4,2024-07-15,9348879.814499991,0.0,0.0,9348879.814499991
CA-13,4,2024-07-15,9348879.8145,95000.0,0.0,9348879.8145
CA-22,4,2024-07-15,9348879.8145,95052.0,0.0,9348879.8145
CA-27,4,2024-07-15,9348879.8145,95000.0,0.0,9348879.8145
AZ-01,5,2024-10-15,9348879.814499997,5024201.109999999,4929201.109999999,4419678.704499997
AZ-04,5,2024-10-15,9348879.8145,1608.0,1608.0,9347271.8145
CA-13,5,2024-10-15,9348879.8145,7399156.14,7304156.14,2044723.6745000007
CA-22,5,2024-10-15,9348879.814499997,3663208.1800000006,3568156.1800000006,5780723.634499996
CA-27,5,2024-10-15,9348879.8145,2201777.289999999,2106777.289999999,7242102.524500001
AZ-01,6,2024-11-25,9348879.8145,8164635.550000001,3140434.4400000013,6208445.374499999
AZ-04,6,2024-11-25,9348879.8145,1608.0,0.0,9348879.8145
CA-13,6,2024-11-25,9348879.8145,7696640.36,297484.22000000067,9051395.5945
CA-22,6,2024-11-25,9348879.814499997,4476499.05,813290.8699999992,8535588.944499997
CA-27,6,2024-11-25,9348879.8145,2957134.0700000003,755356.7800000012,8593523.0345
AZ-01,7,2024-12-31,9348879.8145,8164635.550000001,0.0,9348879.8145
AZ-04,7,2024-12-31,9348879.8145,1608.0,0.0,9348879.8145
CA-13,7,2024-12-31,9348879.8145,7696640.36,0.0,9348879.8145
CA-22,7,2024-12-31,9348879.814499997,4476499.05,0.0,9348879.814499997
CA-27,7,2024-12-31,9348879.8145,2957134.0700000003,0.0,9348879.8145
